Timestamp,Response,1. Rate of increase,2. Duplexes,2. 3-6 units,2. 7 to 15 units,3. Attainable,3. Affordable,4. Att-Aff Explanation,5. Lyme Common,5. Lyme Center,5. Commercial,5. Rural,5. East Lyme,5. Holts Ledge,5. Mtn & Forest,5. Wherever SF units,5. Nowhere,5. Other,6. Other explanation,7. Housing in Commercial,8. Multi-unit districts,9. Infill,10. Lyme School,11. Lyme School Explanation,12. Housing initiatives,13. Years in Lyme,14. Plan to move,15. Explanation of moving ,16. Age range,17. Smaller house,18. Smaller house explanation,19. Currently own,20. Other thoughts
11/8/25 08:35,45,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,1) simply have more available housing 2) permit new construction or refurbishing that commits to providing attainable and affordable units,7,7,8-MOST Appropriate,2,2,1-LEAST Appropriate,1-LEAST Appropriate,2,1-LEAST Appropriate,,The Loch Lyme lodge area/pinnacle corner seems like a good development hub ,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Wherever single-family dwellings are allowed, commercial district",Yes,No,"First of all, population growth is declining rapidly and I'm not sure how you have based your estimated growth; second, this could be addressed by targeting the type of housing provided.  For example, ""senior housing community"" could account for part of the growth, and 1 bedroom units, that are not likely to be rented to families with children, could account for another percentage.  This could be considered in the plan for growth.","Helping people stay in their current housing, Creating housing with a mix of price ranges, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials)",More than 20 years,No,"I hope not to, but I am definitely concerned about affording taxes; I have lived here my entire life but I'm not sure I can stay.",46 to 65 years,Maybe in the future,I would love to buy a smaller home but there is nothing available,Own your own home,"I think it's most important to build up areas that already have some density and leave open land open.  I also think it's a shame that Lyme has become a community where only rich people can live.  I do not know what will happen if my taxes are raised any more--I can't afford to stay here, it's already become difficult.  So is this going to become a town where only the uber wealthy can afford to live?  It's so sad to see this happening.  We need affordable or ""attainable""  housing in Lyme."
11/8/25 08:57,46,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,"Allow construction or conversion of multi-unit complexes with—and this is key—shared resources and infrastructure. These include shared dining, rec, social, and other spaces and shared tools, maintenance, etc. A co-housing model, in a sense. Or look at elder communities for insight. This is a *sustainable* and *ecological* choice that preserves open land, concentrates habitation, fosters community, and saves resources.",8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,6,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,"I don't favor further housing development in the Commercial district, which is already quite full. I'm concerned about traffic impacts on Rt. 10, especially turning/entering onto what is effectively a 65 mph highway (people speed, you know it). Instead, housing should be in areas with already-quiet traffic. This may include the Rural District but thought must be given to impacts on agricultural and environmental concerns.",Minimal or no housing,"Lyme Common District, Lyme Center District, Rural District, East Lyme District, Wherever single-family dwellings are allowed, See my comment above about placing housing in areas where traffic speeds are already quiet. We do NOT want to mix kids, dogs, and residents in general with 60mph traffic.",Yes,Yes,"Accessible and affordable housing will likely bring in younger residents who are more likely to have children. One reason we have so few now is we have an aging population. Lyme could consider sending its 7th and 8th graders to another school. I know there would be screaming about this, but if we do need space it is an option, as the 9th graders must go elsewhere anyway. Yes, I realize there is an expense, but it may be weighed against the forever-cost of new construction.","Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials)",More than 20 years,No,"Rented in Lyme in the 1990s, returned here in the early aughts. Bought the cheapest house that wasn't on wheels and renovated it. Recently did some updates and upgrades. Plan to age in place as long as possible, at least another 10 years.",46 to 65 years,Maybe in the future,"Lyme has no senior housing options. We might consider this at the center of town. I don't want to have to move to Hanover/Leb/WRJ to live in a complex in my 80s. Would prefer to stay in town in a *walkable* district where I can buy groceries, get mail, and socialize.",Own your own home,Thanks for doing this survey!
11/8/25 09:19,47,5-fold increase (10 new units/year),Yes,Yes,No,Yes,No,,7,5,8-MOST Appropriate,2,3,4,1-LEAST Appropriate,,,6,"Anywhere along route 10 - larger, state maintained road, where infrastructure exists or is easier to modify ",3- 6 dwelling units in a building,Lyme Common District,Yes,No,Middle school should move to Hanover. Thus Lyme school would be a K-5 school. Better for growth and economy of scale education for middle school level students,"Helping people stay in their current housing, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,Maybe,,46 to 65 years,Maybe in the future,,Own your own home,
11/8/25 11:23,48,4-fold increase (8 new units/year),,Yes,,Yes,Yes,"looking at streaming permitting processes, allowing further development of Loch Lyme lodge and Pinocle l hill area",2,3,1-LEAST Appropriate,4,5,6,7,8-MOST Appropriate,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, East Lyme District, across from post pond ",Yes,No,"given current population decline, I am not convinced that the same mix of families with children will come to Lyme esp given our excellent support for seniors who want to live in their houses throughout their lifetime.","Creating housing with a mix of price ranges, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,No,,Over 65 years,Maybe in the future,,Own your own home,
11/9/25 07:17,49,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,"Allow smaller lots, require less or no road frontage. Geographic constraints are a big factor as well - pretty much the whole town is either in the steep slopes, ridgeline, or farm soils districts which limit development ",,,,,,,,8-MOST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building",Wherever single-family dwellings are allowed,Yes,No,,"Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",Less than 5 years,No,,18 to 45 years,No,,Own your own home,
11/9/25 10:03,50,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,Less-restrictive zoning laws.  Designate a few areas where multi-family residences would be allowed.,8-MOST Appropriate,,8-MOST Appropriate,,,,,6,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, East Lyme District",Yes,No,It should be a consideration but not a limitation.  The school situation must be addressed no matter what.,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide",5 to 10 years,No,This is where we plan to stay.,Over 65 years,No,"We have the house we want, if we're not taxed out of it.",Own your own home,"The tax base needs to be expanded and/or restrict ""current use"" property.  Property taxes are outrageous."
11/9/25 11:24,51,No increase (2 new units/year),Yes,No,No,No,No,,1-LEAST Appropriate,2,,7,7,7,7,1-LEAST Appropriate,,,,"Single family home, Duplex (two family)",None of the above,No,Yes,"You would get more children by increasing the number of houses being built. I also believe that, as we have turnover in town among older people, we will increase the student population.","Helping people stay in their current housing, Creating housing with a mix of price ranges, Preservation of existing affordable housing, Helping people stay in the community as they age",10 to 20 years,No,,46 to 65 years,No,,Own your own home,
11/9/25 12:19,52,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Revise the current exclusionary zoning requirements.  A town the size of Lyme does not need an almost 300 page building code. ,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,"Along state highways. Route 10, East Thetford and Dorchester Rd","Minimal or no housing, Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District",Yes,No,School age population is decreasing nationwide. Lyme school population has been declining for at least 10 years. Small housing units typically contribute fewer children to a school than single family dwellings. ,"Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Encouraging mixed-use development with retail on the ground level and residential space on upper floors",More than 20 years,No,We tried to build a small senior friendly house and sell our current 4 bedroom home.  We were defeated by zoning. ,Over 65 years,No,No smaller housing available for seniors,Own your own home,The Lyme population has become mostly affluent and many are retired.  The favor the status quo and tend to oppose change. It is becoming a gated community with the gate built of dollar bills.. 
11/9/25 14:39,53,No increase (2 new units/year),No,No,No,No,No,I do not think Lyme needs housing like this. ,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,I do not support encouraging more building in Lyme. ,Minimal or no housing,None of the above,No,Yes,I do not want my school property taxes to increase further due to forced expansion. ,Helping people stay in the community as they age,Less than 5 years,No,,18 to 45 years,No,,Own your own home,Lyme is the community it is because we do not encourage this type of development. I strongly hope we do not move in the direction of forcing expansion and ruining what this community is able to uniquely offer. 
11/9/25 15:12,54,No increase (2 new units/year),No,No,No,No,No,N/a,,,,,,,,,8-MOST Appropriate,,,Minimal or no housing,None of the above,No,Yes,,"Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age",Less than 5 years,Maybe,,18 to 45 years,Yes,I currently rent and am looking to buy a quaint home in Lyme or the surrounding areas. ,Rent,"Lyme is a rare gem. Affordable and attainable housing do not work no matter one’s best efforts to do so. Having lived in Boulder, CO with sweeping county-wide affordable housing mandates, the cost burden falls on those who can afford to live there at market value and leads to rampant overdevelopment.   It is economically unviable and diminishes the efforts of those who work hard to live in Lyme and make it what it is. If you can’t afford an area live elsewhere. How do we preserve a town if you develop it based on cost alone? Let the current state of Vermont and White River Junction be our reminder of what not to do. "
11/9/25 19:48,55,No increase (2 new units/year),Yes,No,No,Yes,Yes,,8-MOST Appropriate,7,3,6,5,4,2,1-LEAST Appropriate,,,,"Single family home, Duplex (two family)",None of the above,Yes,Yes,,"Creating housing with a mix of price ranges, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Helping people stay in the community as they age",Less than 5 years,No,,Over 65 years,No,,Own your own home,Very much appreciate the request for my input on this matter
11/9/25 21:13,56,2-fold increase (4 new units/year),Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,,Yes,,"Helping people stay in their current housing, Helping people stay in the community as they age",10 to 20 years,No,,18 to 45 years,Maybe in the future,,Own your own home,
11/10/25 01:12,57,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,"Fairlee, VT seems to have identified a reasonable solution. I imagine that it would involve building or renovating something such that numerous small units could be contained in one structure. I do not believe that Lyme could possibly build affordable or so-called attainable single family homes. Hanover and Lebanon seem to have reasonable options, albeit not many. What about a model like Gile Hill? Perhaps not suitable for Lyme in scope/size but conceptually, units that are price controlled at point of purchase and again at sale. ",7,7,7,,,,,8-MOST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building","Lyme Common District, Lyme Center District, Wherever single-family dwellings are allowed",Yes,No,"Well, it's possible that by 2026 the US economy could collapse, something I would not have predicted in 2020. So, who knows what will happen in the future. Today, I know the UV needs housing in a way that is becoming desperate.  The refusal to construct housing for people who need to be housed out of fear of what may (or may not) happen to a school seems a bit ridiculous. ","Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Helping people stay in the community as they age",10 to 20 years,Maybe,"If the taxes continue to increase at the current rate, I won't likely stay here. This feels unfortunate as I have always appreciated Lyme and the community and have done quite a bit to work in Lyme as a volunteer with various organizations and I've gone to lengths to meet people and help build community. I would love to believe that I would be able to stay here after I retire which will happen in 5-10 years. It is indeed disappointing and somewhat disenfranchising as I've heard and participated in many conversations about taxes and services in Lyme, yet all seem to fall on deaf ears in the end. ",46 to 65 years,Maybe in the future,"Once my kids are gone, I don't see a point to continuing to live in and maintain a 4 bedroom 3000 sq ft house. In most other American communities, people can downsize as they age without moving away from the community that they lived in and loved for decades. It would be nice if Lyme could figure that out, particularly considering the wealth of models out there to look at. The Planning Board, Zoning Board, Select Board seem quite focused on not building or on disallowing building out of fear that people with students might move to town. Funny thing is, I see that happening often, particularly people with multiple kids building large single family homes. If we build smaller units, people would possibly have something to downsize to and from my perspective, small units would not be desirable for families with kids anyway. ",Own your own home,"I hesitated to complete this survey as I have lived here for almost 20 years and have heard this conversation about housing for most of those 20 years. Ad nauseum. Nothing happens. There seems to be no personal at the proverbial ""wheel"". I'm not a huge fan of NH state government but feel buoyed by the possibility that change will eventually happen due to their impatience with towns like Lyme that just refuse to build anything. I am a person who would like to stay in Lyme, work here in the community and with people in the community. It is disheartening to today believe that this may not be possible. Keep in mind that many people, if/when they believe they either cannot afford to stay here, maintain a large home, or become frustrated by the high tax rate that is not accompanied by needed service(s), will sell. And, who will buy the 4br single family homes? People with kids. So, the problem that you are focused on keeping from happening looms even if you don't build. Another issue I'd point to - assessed value of homes. Many homes seem to be a bit off in terms of assessed/market value. Improving the assessments so that they better reflect/match market value could help quite a few people (1) control budgets (2) impart fairness to the tax code. Building? Try for  small units. 1 br. 2 br. Small but functional kitchens. A tv room and a bath. Keep it simple. But, worth pointing out that building is not the only means of solving/making taxes more reasonable for many people. "
11/10/25 08:34,58,3-fold increase (6 new units/year),Yes,Yes,No,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,5,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,Yes,,46 to 65 years,No,,Own your own home,
11/10/25 09:10,59,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,,7,6,8-MOST Appropriate,6,5,2,1-LEAST Appropriate,6,1-LEAST Appropriate,,,"Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Rural District",Yes,No,It is not reasonable to think that our school won't have to expand in the future and it should be expected and planned for. ,"Helping people stay in their current housing, Encouraging more housing options/choices/types town-wide, Attracting younger residents and families with children",10 to 20 years,No,,46 to 65 years,Maybe in the future,,Own your own home,Lyme is becoming more and more restrictive and unwelcoming to home buyers/renters with lower incomes. This is a change we have seen over the past 20 years. 
11/10/25 13:41,60,No increase (2 new units/year),No,No,No,Yes,Yes,Homestead Act,,,,,,,,,,8-MOST Appropriate,Your zoning map is missing the land that is in Current Use. What areas are open for building? I need that infor before answering your question.,,Same as answer above. Show me the land that is available for building before asking me to answer this question.,No,Yes,"If 80% of the people in town have no children in the school system and the majority of our tax bill funds the school, why would we want to add to the tax burden as we are aging up?","Helping people stay in their current housing, Preservation of existing affordable housing, Helping people stay in the community as they age",More than 20 years,Yes,Lyme is not a town where you can age in place easily.,Over 65 years,Yes,But not in Lyme,Own your own home,"Without seeing the land in Lyme that is in Current Use, it is hard to answer your questions. Where could we build should be answered, rather then where do I want to see something built. We have an abundance of land in Current Use and people will not be willing to remove their land from that program to build a duplex, cluster housing, etc. Let's not forget what Lyme is. We are a town with open spaces. That is what draws people. We do not need to become a small town with the look of houses and tall buildings lining our main streets and roads. If you are going to encourage ADU's and cluster housing, please consider what your home would be like if that were happening on a piece of land abutting your property. 35' away from your line isn't far. How would that impact your life and your home. ?  "
11/11/25 08:26,61,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,"The ordinance only makes it practical to build large single-family homes. It should allow smaller, denser options.",8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,8-MOST Appropriate,"Along state highways such as Route 10, East Thetford Road, and Dorchester Road.","Minimal or no housing, Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, Same as Question 6.",Yes,No,"1) Demographics show that school age population is decreasing nationwide. Young families are having fewer kids. In Lyme, the large spike in student population was 10 years ago: it has been declining by about one student per year ever since. By 2040, this trend could offset the growth in new housing.     Smaller housing units add less to school enrollment than single-family homes. Yet those smaller homes increase the tax base, and improve town finances. See the NHHFA study.","Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Encouraging mixed-use development with retail on the ground level and residential space on upper floors",10 to 20 years,No,"Despite the high taxes, we have our close circle of friends in Lyme",Over 65 years,Yes,It would be so nice if Lyme offered modest homes where residents could downsize,Own your own home,"Some of these questions are backward-looking. Some seem to imply that any development would be bad for Lyme. Finally, I wish the survey had asked questions about what the residents think about relaxing some of the strict constraints if helped improve housing options."
11/11/25 08:48,62,2-fold increase (4 new units/year),Yes,Yes,No,Yes,Yes,smart construction within walking distance of downtown and the commuter lots,6,5,7,4,3,2,1-LEAST Appropriate,8-MOST Appropriate,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,Yes,Helping with housing is great; trying to solve the entire upper valley housing problem is not,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide",More than 20 years,No,,46 to 65 years,No,,Own your own home,"Smart, slow growth within reason is a great way to move Lyme into the future for young couples, families and retirees"
11/11/25 09:19,63,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,"Yes, there needs to be more of it. Supply and demand. ",8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,4,4,1-LEAST Appropriate,1-LEAST Appropriate,4,1-LEAST Appropriate,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, Wherever single-family dwellings are allowed",Yes,No,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Attracting younger residents and families with children, Attainable and affordable housin",Less than 5 years,Maybe,"I moved here to complete my residency at DH. I absolutely love living in Lyme. Unfortunately, even with my new physicians salary, the housing costs in Lyme are too expensive and I will probably need to move out of town to buy a house. ",18 to 45 years,Maybe in the future,,Rent,I think affordable housing for workers in this area is of the utmost importance. I want the skiway to have workers. I want the Latham tavern to reopen. I want Lyme to be more than a haven for wealthy people associated with Dartmouth / DH. 
11/11/25 09:44,64,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,"Lyme is a place with tremendous wealth and as such, we should be in a position to reduce tax burden and other burdens on those that cannot afford",8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Wherever single-family dwellings are allowed",Yes,No,"Addressing any concerns with overcapacity in the school should be part of a long term plan.  Additional students, distributed across grades should be something that could be planned for.","Helping people stay in their current housing, Creating housing with a mix of price ranges, Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Attracting younger residents and families with children, Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",5 to 10 years,No,,18 to 45 years,No,,Own your own home,"This is an important moment for Lyme, the nearby towns and the states of N.H. and VT.  The populations are older and need to be supported while also bringing in / developing fresh new ideas and community leaders.  I believe we can both take care of those who are burdened by high property taxes and cost of living, while also encouraging younger people to live here."
11/11/25 12:03,65,2-fold increase (4 new units/year),Yes,Yes,No,Yes,Yes,,7,6,8-MOST Appropriate,3,4,5,2,,1-LEAST Appropriate,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building","Lyme Common District, Lyme Center District",Yes,Yes,,"Helping people stay in their current housing, Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide",5 to 10 years,No,,46 to 65 years,No,,Own your own home,
11/11/25 12:26,66,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,,7,6,8-MOST Appropriate,5,4,4,1-LEAST Appropriate,5,,,,"3- 6 dwelling units in a building, 7-15 dwelling units in a building",Lyme Common District,Yes,No,,"Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",Less than 5 years,No,,46 to 65 years,Maybe in the future,"Upon retirement in ~15 years, I will probably downsize. ",Own your own home,
11/11/25 12:51,67,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,"Increasing housing density not just in the ""centers"" and ""commercial districts,"" but in other parts of town as well.",8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,,,,,,8-MOST Appropriate,Along all state highways in town.,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, Along all state highways in town.",Yes,No,Smaller housing units tend to bring in fewer school-age kids; Lyme's school population has been steady for a decade.,"Helping people stay in their current housing, Encouraging more housing options/choices/types town-wide, Encouraging mixed-use development with retail on the ground level and residential space on upper floors",More than 20 years,No,I'm a senior citizen who has lived here for decades. I'd hate to have to leave because of our limited housing options for seniors.,Over 65 years,Maybe in the future,I'd prefer a small apartment.,Own your own home,I am dismayed that the Planning Board has taken so long to get to this vital concern for our town.  Relying on a survey from 20 years ago is not in the best interests of any town.
11/11/25 14:58,68,No increase (2 new units/year),Yes,No,No,No,No,,6,5,7,5,5,6,2,5,,,,"Single family home, Duplex (two family)",None of the above,Yes,Yes,Taxes are high because of the school.  Anything that leads to the need for a bigger facility would greatly exacerbate the problem.  Multi dwelling units (with no age restriction) will most likely lead to rental properties and more kids in schools.  ,"Helping people stay in their current housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Encouraging Accessory Dwelling Units (ADUs), Helping people stay in the community as they age, “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,No,,46 to 65 years,Maybe in the future,,Own your own home,"Given the amt of land in conservation, I don't think 9 new households/yr is realistic.  Taxes are high due to the school.  Rental units exacerbate the problem as families bite the bullet while the kids are young then move, opening the unit for the next family with young kids.  If an increase in multi dwelling rental units leads to more kids and need for a bigger school, the tax issue will get worse.  Taxes on rental units don't cover the cost of educating kids-particularly if they're continually turning over.   Is there a way to regulate the number of rentals vs. owned units??"
11/11/25 17:02,69,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Allow buildings with 7-15 units,8-MOST Appropriate,7,2,8-MOST Appropriate,5,1-LEAST Appropriate,4,6,,8-MOST Appropriate,"Wherever we could establish another walkable ""village"" in Lyme, with clustered housing and services",Minimal or no housing,"Lyme Common District, Lyme Center District, In a new walkable village, away from 60-mph highways",Yes,Yes,,"Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging Accessory Dwelling Units (ADUs), “In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",More than 20 years,No,We have carefully renovated an old tired house into one we can stay in for the long haul,Over 65 years,No,Ours fits us well as is,Own your own home,
11/12/25 11:47,70,2-fold increase (4 new units/year),Yes,No,No,No,No,,8-MOST Appropriate,5,6,1-LEAST Appropriate,4,3,2,7,,,,Duplex (two family),,No,Yes,"The higher density proposals that recur here are a clear attempt to access Lyme schools without paying commensurate taxes.  If sustainability were the goal, the development would have already occurred in Grafton with no zoning restrictions.",None of the above,10 to 20 years,Yes,Your taxes are ridiculous so I'm downsizing to another town,46 to 65 years,Yes,It's a square footage battle with the assessor.  The only way to win is minimize square footage and eliminate taxed amenities like paving and solar panels.,Own your own home,
11/12/25 18:20,71,No increase (2 new units/year),No,,,Yes,No,,2,3,1-LEAST Appropriate,5,5,5,5,8-MOST Appropriate,5,,,Single family home,None of the above,No,Yes,I strongly feel this projection is NOT appropriate.  Likely lower cost housing will bring in younger people who can’t afford a single family home.  The school already doesn’t have enough resources and this would stretch it even further.  ,"Helping people stay in their current housing, Preservation of existing affordable housing, Helping people stay in the community as they age",10 to 20 years,No,,18 to 45 years,No,,Own your own home,Lyme does not need to grow fast.  We do not have the resources for fast growth.  I believe slow and steady growth while helping our neighbors stay in their homes should be the priority.
11/12/25 19:26,72,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,"Some group like the Lyme Foundation or a bunch of citizens needs to put up some funding and make a plan. If the town did it, zoning rules are very flexible. ",8-MOST Appropriate,7,6,5,4,1-LEAST Appropriate,3,8-MOST Appropriate,,,,"Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Lyme Center District, Rural District, Along route 10 (north and south of town) and East Thetford Rd.",Yes,No,"There are many potential solutions if, by some weird chance, the student population actually increased.","Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing, Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Helping people stay in the community as they age",More than 20 years,No,Hope to age in place.,Over 65 years,No,,Own your own home,"Lyme needs to welcome people to live here. Teachers, nurses, police, fire, all are priced out. The old guard is trying to preserve an old aesthetic, but are killing the community spirit and vitality."
11/13/25 08:06,73,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,,4,4,8-MOST Appropriate,8-MOST Appropriate,4,4,4,8-MOST Appropriate,,,,"Single family home, Duplex (two family), 3- 6 dwelling units in a building, 7-15 dwelling units in a building, 16-30 dwelling units in a building","Lyme Common District, Rural District",Yes,No,,"Creating housing with a mix of price ranges, Encouraging more housing options/choices/types town-wide, Preservation of existing affordable housing, Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials), Encouraging mixed-use development with retail on the ground level and residential space on upper floors, Attracting younger residents and families with children",Less than 5 years,No,,18 to 45 years,No,,Own your own home,
11/13/25 09:54,74,3-fold increase (6 new units/year),Yes,Yes,No,Yes,Yes,The above answer of allowing multi-family dwellings.,5,5,6,7,7,7,3,5,2,,,"Single family home, Duplex (two family)",Wherever single-family dwellings are allowed,Yes,Yes,But it should be balanced with having  housing for families with children because we want the age diversity in our community.,"Creating housing with a mix of price ranges, Attracting younger residents and families with children, Helping people stay in the community as they age",More than 20 years,No,We are in our 70's and know that we will eventually downsize.,Over 65 years,Maybe in the future,We will stay in our home for as long as possible and then hopefully pass it on to our family.,Own your own home,"I think that Lyme has lost many of its older residents because they can't afford the taxes and couldn't find a way to downsize in town. In addition, property in Lyme has increased a great deal so that moderate income families can't afford the cost. In fact, families that have lived in Lyme for generations are being left not being able to live in Lyme because of the steep prices. We need fewer exclusive properties and more moderate income properties. We would see an influx of young workers who aren't professors and doctors but the nurses and technicians who will move here to staff the hospital and other orgs in the area."
