Timestamp,Response,1. Rate of increase,2. Duplexes,2. 3-6 units,2. 7 to 15 units,3. Attainable,3. Affordable,4. Att-Aff Explanation,5. Lyme Common,5. Lyme Center,5. Commercial,5. Rural,5. East Lyme,5. Holts Ledge,5. Mtn & Forest,5. Wherever SF units,5. Nowhere,5. Other,6. Other explanation,7. Housing in Commercial,8. Multi-unit districs,9. Infill,10. Lyme School,11. Lyme School Explanation,12. Housing initiatives,13. Years in Lyme,14. Plan to move,15. Explanation of moving ,16. Age range,17. Smaller house,18. Smaller house explanation,19. Currently own,20. Other thoughts
2025/11/07 10:45:33 AM EST,35,5-fold increase (10 new units/year),Yes,Yes,No,Yes,Yes,"Identify areas well suited to higher density housing. Like the entire area between the horse sheds at the Congregational church and High Street. Route 10 north towards Orford and south towards Hanover. East thetford road between Lyme and the bridge to thetford. Use those areas for anything bigger than a duplex. Besides that, look at old maps of Lyme and allow new houses wheee there are cellar holes or evidence of old houses. Selectively open class six roads like East Street and Shoestrap all the way down to river road for careful, limited development. Have we even regained the level of our peak population in the early 1800s? At least we could match and slightly exceed that!",8-MOST Appropriate,6,8-MOST Appropriate,5,8-MOST Appropriate,8-MOST Appropriate,5,8-MOST Appropriate,,8-MOST Appropriate,"Select roads: route 10 north to Orford, route 10 south to Hanover, east thetford road from town to the bridge to thetford. ",Duplex (two family);3- 6 dwelling units in a building,Lyme Common District;East Lyme District;Holts Ledge District;Commercial district and same answer as above along those select roads: route 10 north and south plus east thetford road ,Yes,Yes,"If I understand the math correctly, by 2040, with 135 new households, we max out the school capacity. So that sounds like a reasonable “phase 1” expansion plan for Lyme. Allow growth to the capacity of the school, and then take a breather and consider additional growth based on the experience and lessons learned from phase 1. It’s a natural, organic limiting factor to take a pause and then consider whether the town wants additional growth from there. ",Creating housing with a mix of price ranges;Helping people stay in the community as they age;“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings),5 to 10 years,No,,46 to 65 years,Maybe in the future,,Own your own home,"We cannot continue to try to freeze Lyne’s development, put all open land into conservation, and turn Lyme into a Ye Olde Museum town. It needs to breath and change and grow, carefully and thoughtfully. It needs affordable options. "
2025/11/07 10:58:57 AM EST,36,3-fold increase (6 new units/year),Yes,Yes,No,Yes,Yes,"I think Lyme’s minimum lot size requirements are too large, especially outside the village centers. They make it difficult to create smaller, more attainable homes for local families, teachers, and older residents who want to stay in town. Reducing lot sizes in areas like East Lyme, Holts Ledge, and parts of the Rural District — while keeping appropriate protections for the Mountain & Forest areas — would allow for modest growth that still fits Lyme’s character.  Smaller lot options, accessory dwelling units, and clustered developments could help Lyme offer “a variety of housing types” as described in the Master Plan, without changing what makes our town special. This would strengthen the community and make it possible for more people to live here long-term.",8-MOST Appropriate,7,7,3,5,4,1-LEAST Appropriate,2,,,,Single family home;Duplex (two family);3- 6 dwelling units in a building,Lyme Common District;Lyme Center District;Along Route 10 near existing businesses and services (Commercial District),Yes,No,"The school’s capacity should be considered, but it should not serve as a limiting factor for housing development. Lyme’s enrollment has remained steady for decades, and adding up to 30 new students over 15 years represents very gradual growth, less than two students per year. That is well within the school’s ability to manage through natural fluctuations, staffing adjustments, or modest operational changes.  More importantly, Lyme needs a balance of housing types to sustain a healthy, multigenerational community. If new housing is restricted based on potential school growth, it risks excluding younger families entirely, which could lead to a long-term decline in school enrollment and community vibrancy.  Instead of treating school capacity as a constraint, Lyme can plan for moderate, well-placed housing growth that keeps enrollment stable, supports local teachers and staff, and helps maintain the town’s social and economic vitality.",Creating housing with a mix of price ranges;Helping people stay in the community as they age;“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings),More than 20 years,No,"I grew up in Lyme, and I understand that every community needs to evolve and adapt over time. We’re in the midst of a real shift in how we think about growth, and resisting all development isn’t a sustainable path forward. Thoughtful, well-planned change can help Lyme remain vibrant while preserving what makes it special. Look at Fairlee, VT — they’ve managed to reinvest in their community and bring new life to the town without losing its character. Lyme can do the same by encouraging small-scale, intentional growth that supports local businesses, offers a range of housing options, and keeps the town’s unique sense of place alive for future generations.",46 to 65 years,Maybe in the future,"Maybe in the future. As life changes and my needs evolve, I could see the appeal of a smaller, more manageable home. Something close to the town center would make it easier to stay connected to the community while reducing maintenance and costs. Having more options for smaller homes in Lyme would make it possible for people like me to downsize without having to leave town.",Own your own home,"Lyme is a special place, and part of what makes it strong is the sense of community and connection among its residents. But to keep that spirit alive, we need to adapt thoughtfully. Creating more attainable housing options—especially near the village center—will allow long-time residents, young families, and older adults to stay and contribute to the life of the town. Careful, small-scale development that fits Lyme’s character can strengthen our schools, local businesses, and civic life. Change is inevitable, but if we guide it with intention, we can ensure Lyme remains welcoming, vibrant, and true to its roots."
2025/11/07 12:10:32 PM EST,37,No increase (2 new units/year),Yes,Yes,No,No,No,,8-MOST Appropriate,5,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,,,Single family home;Duplex (two family);3- 6 dwelling units in a building,Lyme Common District;Lyme Commercial,Yes,Yes,,"Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials)",Less than 5 years,No,,18 to 45 years,No,,Own your own home,
2025/11/07 12:17:09 PM EST,38,No increase (2 new units/year),No,No,No,No,No,,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,,Minimal or no housing;Duplex (two family),None of the above,No,Yes,,Helping people stay in their current housing;Preservation of existing affordable housing;Helping people stay in the community as they age,Less than 5 years,No,,18 to 45 years,No,,Own your own home,"Lyme is a wonderful community with an amazing school, we shouldn't change what is already working."
2025/11/07 12:53:44 PM EST,39,2-fold increase (4 new units/year),Yes,No,No,Yes,Yes,"Allowing for easier rules regarding accessory dwellings, smaller development projects like duplex/smaller units. ",7,7,8-MOST Appropriate,7,7,5,7,5,,,,Duplex (two family);3- 6 dwelling units in a building,Lyme Common District;Lyme Center District,No,Yes,With more kids there are more teachers and resources needed,"Helping people stay in their current housing;Encouraging more housing options/choices/types town-wide;Preservation of existing affordable housing;Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials);Encouraging Accessory Dwelling Units (ADUs);Attracting younger residents and families with children;Helping people stay in the community as they age",Less than 5 years,No,,46 to 65 years,Maybe in the future,Wouldn’t mind downsizing eventually ,Own your own home,
2025/11/07 1:09:37 PM EST,40,2-fold increase (4 new units/year),Yes,No,No,Yes,Yes,,3,5,6,5,3,3,2,5,,,,Single family home;Duplex (two family),None of the above,Yes,Yes,,Helping people stay in their current housing;Preservation of existing affordable housing;“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings),Less than 5 years,No,,Over 65 years,No,,Own your own home,
2025/11/08 7:15:48 AM EST,41,5-fold increase (10 new units/year),Yes,Yes,,Yes,Yes,Build more of them.,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,,,Single family home;Duplex (two family);3- 6 dwelling units in a building,Wherever single-family dwellings are allowed,Yes,Yes,,"Creating housing with a mix of price ranges;Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials);“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",Less than 5 years,Yes,We just bought land in Norwich and are planning to build there. Planning to start a family and need a bigger house.  ,18 to 45 years,No,"Our current house is only 1000sqft, don't plan to go smaller than that. ",Own your own home,
2025/11/08 7:59:25 AM EST,42,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,No,"Larger central apartments in downtown/route 10. No reason that route 10 should have more development right along it. Due to the less desirable nature of living next to a highway, apartments would generally be lower price and not hurt the real benefit of Lyme which is the rural roads.",8-MOST Appropriate,6,8-MOST Appropriate,3,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,More zones along route 10 or expand the common zone to include more of route 10 for a larger downtown,Single family home;Duplex (two family);3- 6 dwelling units in a building;7-15 dwelling units in a building;16-30 dwelling units in a building,Lyme Common District,Yes,No,"30 vs 31 is likely not a contributing factor. But affordable housing would probably bring younger people with children to the area or allow more people who grew up here to come back with children. This is desperately needed in Lyme, 80% of households have no children. We can afford to expand the school, the whole reason young families want to come is the school. Plus, when I was in school, before the expansion, we had ~210 and it was more than capable.","Creating housing with a mix of price ranges;Encouraging more housing options/choices/types town-wide;Preservation of existing affordable housing;Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials);Attracting younger residents and families with children;Helping people stay in the community as they age;“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings);Preserving rural areas",More than 20 years,No,"Born here, moved back after college, soon to have a family here. My guess is more of my peers would if they could afford it.",18 to 45 years,No,My house was purchased before Covid and was well below the current market. It is considered “affordable” per question 3,Own your own home,"Lyme is great because of its rural nature, but to me this means roads outside of highways and towns lined with trees and sparse houses. There is no reason not to increase the number of houses and restaurants in locations that already have them, or to build along well travels routes such as route 10. Building more housing in some rural areas is good but should be minimal and not detract from our ease of access to green spaces or general rural vibe. The last thing I want is suburbs sprawling through the areas that are rural."
2025/11/08 8:01:29 AM EST,43,3-fold increase (6 new units/year),No,Yes,Yes,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,6,6,5,6,1-LEAST Appropriate,,,Single family home;3- 6 dwelling units in a building;7-15 dwelling units in a building;16-30 dwelling units in a building,Rural District;Commercial district,Yes,No,"Based on the above estimates, Lyme school can support the expected student body increase that would result from increased housing. If the school ends up with a consistently high enrollment that expansion is needed, then it makes sense to expand.","Creating housing with a mix of price ranges;Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing;Preservation of existing affordable housing;Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials);Encouraging mixed-use development with retail on the ground level and residential space on upper floors;Attracting younger residents and families with children",5 to 10 years,Maybe,,18 to 45 years,No,,Own your own home,
2025/11/08 8:18:28 AM EST,44,4-fold increase (8 new units/year),,Yes,,,Yes,"Allow more multi family housing, either new or conversions",8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,7,7,6,1-LEAST Appropriate,7,1-LEAST Appropriate,,,7-15 dwelling units in a building,Lyme Common District;Lyme Center District;Rural District;East Lyme District;Wherever single-family dwellings are allowed,Yes,No,"We should meet the regional planning goals, all towns have to do their share and Lyme is no different from any other town","Helping people stay in their current housing;Creating housing with a mix of price ranges;Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing;Encouraging more housing options/choices/types town-wide;Preservation of existing affordable housing;Encouraging Accessory Dwelling Units (ADUs);Helping people stay in the community as they age;“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",Less than 5 years,No,,46 to 65 years,No,,Live with friends/relatives,
2025/11/08 8:35:38 AM EST,45,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,1) simply have more available housing 2) permit new construction or refurbishing that commits to providing attainable and affordable units,7,7,8-MOST Appropriate,2,2,1-LEAST Appropriate,1-LEAST Appropriate,2,1-LEAST Appropriate,,The Loch Lyme lodge area/pinnacle corner seems like a good development hub ,Duplex (two family);3- 6 dwelling units in a building;7-15 dwelling units in a building;16-30 dwelling units in a building,Lyme Common District;Lyme Center District;Wherever single-family dwellings are allowed;commercial district,Yes,No,"First of all, population growth is declining rapidly and I'm not sure how you have based your estimated growth; second, this could be addressed by targeting the type of housing provided.  For example, ""senior housing community"" could account for part of the growth, and 1 bedroom units, that are not likely to be rented to families with children, could account for another percentage.  This could be considered in the plan for growth.","Helping people stay in their current housing;Creating housing with a mix of price ranges;Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials)",More than 20 years,No,"I hope not to, but I am definitely concerned about affording taxes; I have lived here my entire life but I'm not sure I can stay.",46 to 65 years,Maybe in the future,I would love to buy a smaller home but there is nothing available,Own your own home,"I think it's most important to build up areas that already have some density and leave open land open.  I also think it's a shame that Lyme has become a community where only rich people can live.  I do not know what will happen if my taxes are raised any more--I can't afford to stay here, it's already become difficult.  So is this going to become a town where only the uber wealthy can afford to live?  It's so sad to see this happening.  We need affordable or ""attainable""  housing in Lyme."
2025/11/08 8:57:42 AM EST,46,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,"Allow construction or conversion of multi-unit complexes with—and this is key—shared resources and infrastructure. These include shared dining, rec, social, and other spaces and shared tools, maintenance, etc. A co-housing model, in a sense. Or look at elder communities for insight. This is a *sustainable* and *ecological* choice that preserves open land, concentrates habitation, fosters community, and saves resources.",8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,6,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,"I don't favor further housing development in the Commercial district, which is already quite full. I'm concerned about traffic impacts on Rt. 10, especially turning/entering onto what is effectively a 65 mph highway (people speed, you know it). Instead, housing should be in areas with already-quiet traffic. This may include the Rural District but thought must be given to impacts on agricultural and environmental concerns.",Minimal or no housing,"Lyme Common District;Lyme Center District;Rural District;East Lyme District;Wherever single-family dwellings are allowed;See my comment above about placing housing in areas where traffic speeds are already quiet. We do NOT want to mix kids, dogs, and residents in general with 60mph traffic.",Yes,Yes,"Accessible and affordable housing will likely bring in younger residents who are more likely to have children. One reason we have so few now is we have an aging population. Lyme could consider sending its 7th and 8th graders to another school. I know there would be screaming about this, but if we do need space it is an option, as the 9th graders must go elsewhere anyway. Yes, I realize there is an expense, but it may be weighed against the forever-cost of new construction.","Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing;Encouraging more housing options/choices/types town-wide;Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials)",More than 20 years,No,"Rented in Lyme in the 1990s, returned here in the early aughts. Bought the cheapest house that wasn't on wheels and renovated it. Recently did some updates and upgrades. Plan to age in place as long as possible, at least another 10 years.",46 to 65 years,Maybe in the future,"Lyme has no senior housing options. We might consider this at the center of town. I don't want to have to move to Hanover/Leb/WRJ to live in a complex in my 80s. Would prefer to stay in town in a *walkable* district where I can buy groceries, get mail, and socialize.",Own your own home,Thanks for doing this survey!
2025/11/08 9:19:51 AM EST,47,5-fold increase (10 new units/year),Yes,Yes,No,Yes,No,,7,5,8-MOST Appropriate,2,3,4,1-LEAST Appropriate,,,6,"Anywhere along route 10 - larger, state maintained road, where infrastructure exists or is easier to modify ",3- 6 dwelling units in a building,Lyme Common District,Yes,No,Middle school should move to Hanover. Thus Lyme school would be a K-5 school. Better for growth and economy of scale education for middle school level students,"Helping people stay in their current housing;Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing;Encouraging more housing options/choices/types town-wide;Preservation of existing affordable housing;Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials);Encouraging mixed-use development with retail on the ground level and residential space on upper floors;Encouraging Accessory Dwelling Units (ADUs);Helping people stay in the community as they age;“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,Maybe,,46 to 65 years,Maybe in the future,,Own your own home,
2025/11/08 11:23:44 AM EST,48,4-fold increase (8 new units/year),,Yes,,Yes,Yes,"looking at streaming permitting processes, allowing further development of Loch Lyme lodge and Pinocle l hill area",2,3,1-LEAST Appropriate,4,5,6,7,8-MOST Appropriate,,,,Single family home;Duplex (two family);3- 6 dwelling units in a building,Lyme Common District;Lyme Center District;East Lyme District;across from post pond ,Yes,No,"given current population decline, I am not convinced that the same mix of families with children will come to Lyme esp given our excellent support for seniors who want to live in their houses throughout their lifetime.",Creating housing with a mix of price ranges;Helping people stay in the community as they age;“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings),10 to 20 years,No,,Over 65 years,Maybe in the future,,Own your own home,
2025/11/09 7:16:59 AM EST,49,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,"Allow smaller lots, require less or no road frontage. Geographic constraints are a big factor as well - pretty much the whole town is either in the steep slopes, ridgeline, or farm soils districts which limit development ",,,,,,,,8-MOST Appropriate,,,,Duplex (two family);3- 6 dwelling units in a building;7-15 dwelling units in a building;16-30 dwelling units in a building,Wherever single-family dwellings are allowed,Yes,No,,Creating housing with a mix of price ranges;Encouraging more housing options/choices/types town-wide;“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings),Less than 5 years,No,,18 to 45 years,No,,Own your own home,
2025/11/09 10:03:05 AM EST,50,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,Less-restrictive zoning laws.  Designate a few areas where multi-family residences would be allowed.,8-MOST Appropriate,,8-MOST Appropriate,,,,,6,,,,Single family home;Duplex (two family);3- 6 dwelling units in a building,Lyme Common District;Lyme Center District;East Lyme District,Yes,No,It should be a consideration but not a limitation.  The school situation must be addressed no matter what.,Helping people stay in their current housing;Creating housing with a mix of price ranges;Encouraging more housing options/choices/types town-wide,5 to 10 years,No,This is where we plan to stay.,Over 65 years,No,"We have the house we want, if we're not taxed out of it.",Own your own home,"The tax base needs to be expanded and/or restrict ""current use"" property.  Property taxes are outrageous."
2025/11/09 11:24:12 AM EST,51,No increase (2 new units/year),Yes,No,No,No,No,,1-LEAST Appropriate,2,,7,7,7,7,1-LEAST Appropriate,,,,Single family home;Duplex (two family),None of the above,No,Yes,"You would get more children by increasing the number of houses being built. I also believe that, as we have turnover in town among older people, we will increase the student population.",Helping people stay in their current housing;Creating housing with a mix of price ranges;Preservation of existing affordable housing;Helping people stay in the community as they age,10 to 20 years,No,,46 to 65 years,No,,Own your own home,
2025/11/09 12:19:21 PM EST,52,5-fold increase (10 new units/year),Yes,Yes,Yes,Yes,Yes,Revise the current exclusionary zoning requirements.  A town the size of Lyme does not need an almost 300 page building code. ,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,"Along state highways. Route 10, East Thetford and Dorchester Rd",Minimal or no housing;Single family home;Duplex (two family);3- 6 dwelling units in a building;7-15 dwelling units in a building;16-30 dwelling units in a building,Lyme Common District;Lyme Center District;Rural District,Yes,No,School age population is decreasing nationwide. Lyme school population has been declining for at least 10 years. Small housing units typically contribute fewer children to a school than single family dwellings. ,Creating housing with a mix of price ranges;Encouraging more housing options/choices/types town-wide;Encouraging mixed-use development with retail on the ground level and residential space on upper floors,More than 20 years,No,We tried to build a small senior friendly house and sell our current 4 bedroom home.  We were defeated by zoning. ,Over 65 years,No,No smaller housing available for seniors,Own your own home,The Lyme population has become mostly affluent and many are retired.  The favor the status quo and tend to oppose change. It is becoming a gated community with the gate built of dollar bills.. 
2025/11/09 2:39:29 PM EST,53,No increase (2 new units/year),No,No,No,No,No,I do not think Lyme needs housing like this. ,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,I do not support encouraging more building in Lyme. ,Minimal or no housing,None of the above,No,Yes,I do not want my school property taxes to increase further due to forced expansion. ,Helping people stay in the community as they age,Less than 5 years,No,,18 to 45 years,No,,Own your own home,Lyme is the community it is because we do not encourage this type of development. I strongly hope we do not move in the direction of forcing expansion and ruining what this community is able to uniquely offer. 
2025/11/09 3:12:53 PM EST,54,No increase (2 new units/year),No,No,No,No,No,N/a,,,,,,,,,8-MOST Appropriate,,,Minimal or no housing,None of the above,No,Yes,,Encouraging Accessory Dwelling Units (ADUs);Attracting younger residents and families with children;Helping people stay in the community as they age,Less than 5 years,Maybe,,18 to 45 years,Yes,I currently rent and am looking to buy a quaint home in Lyme or the surrounding areas. ,Rent,"Lyme is a rare gem. Affordable and attainable housing do not work no matter one’s best efforts to do so. Having lived in Boulder, CO with sweeping county-wide affordable housing mandates, the cost burden falls on those who can afford to live there at market value and leads to rampant overdevelopment.   It is economically unviable and diminishes the efforts of those who work hard to live in Lyme and make it what it is. If you can’t afford an area live elsewhere. How do we preserve a town if you develop it based on cost alone? Let the current state of Vermont and White River Junction be our reminder of what not to do. "
2025/11/09 7:48:05 PM EST,55,No increase (2 new units/year),Yes,No,No,Yes,Yes,,8-MOST Appropriate,7,3,6,5,4,2,1-LEAST Appropriate,,,,Single family home;Duplex (two family),None of the above,Yes,Yes,,"Creating housing with a mix of price ranges;Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials);Helping people stay in the community as they age",Less than 5 years,No,,Over 65 years,No,,Own your own home,Very much appreciate the request for my input on this matter
2025/11/09 9:13:13 PM EST,56,2-fold increase (4 new units/year),Yes,No,No,Yes,Yes,,,,,,,,,,,,,,,,Yes,,Helping people stay in their current housing;Helping people stay in the community as they age,10 to 20 years,No,,18 to 45 years,Maybe in the future,,Own your own home,
2025/11/10 1:12:26 AM EST,57,4-fold increase (8 new units/year),Yes,Yes,Yes,Yes,Yes,"Fairlee, VT seems to have identified a reasonable solution. I imagine that it would involve building or renovating something such that numerous small units could be contained in one structure. I do not believe that Lyme could possibly build affordable or so-called attainable single family homes. Hanover and Lebanon seem to have reasonable options, albeit not many. What about a model like Gile Hill? Perhaps not suitable for Lyme in scope/size but conceptually, units that are price controlled at point of purchase and again at sale. ",7,7,7,,,,,8-MOST Appropriate,,,,Duplex (two family);3- 6 dwelling units in a building;7-15 dwelling units in a building,Lyme Common District;Lyme Center District;Wherever single-family dwellings are allowed,Yes,No,"Well, it's possible that by 2026 the US economy could collapse, something I would not have predicted in 2020. So, who knows what will happen in the future. Today, I know the UV needs housing in a way that is becoming desperate.  The refusal to construct housing for people who need to be housed out of fear of what may (or may not) happen to a school seems a bit ridiculous. ","Creating housing with a mix of price ranges;Creating housing with shared amenities such as common space, building maintenance, snow plowing and lawn mowing;Helping people stay in the community as they age",10 to 20 years,Maybe,"If the taxes continue to increase at the current rate, I won't likely stay here. This feels unfortunate as I have always appreciated Lyme and the community and have done quite a bit to work in Lyme as a volunteer with various organizations and I've gone to lengths to meet people and help build community. I would love to believe that I would be able to stay here after I retire which will happen in 5-10 years. It is indeed disappointing and somewhat disenfranchising as I've heard and participated in many conversations about taxes and services in Lyme, yet all seem to fall on deaf ears in the end. ",46 to 65 years,Maybe in the future,"Once my kids are gone, I don't see a point to continuing to live in and maintain a 4 bedroom 3000 sq ft house. In most other American communities, people can downsize as they age without moving away from the community that they lived in and loved for decades. It would be nice if Lyme could figure that out, particularly considering the wealth of models out there to look at. The Planning Board, Zoning Board, Select Board seem quite focused on not building or on disallowing building out of fear that people with students might move to town. Funny thing is, I see that happening often, particularly people with multiple kids building large single family homes. If we build smaller units, people would possibly have something to downsize to and from my perspective, small units would not be desirable for families with kids anyway. ",Own your own home,"I hesitated to complete this survey as I have lived here for almost 20 years and have heard this conversation about housing for most of those 20 years. Ad nauseum. Nothing happens. There seems to be no personal at the proverbial ""wheel"". I'm not a huge fan of NH state government but feel buoyed by the possibility that change will eventually happen due to their impatience with towns like Lyme that just refuse to build anything. I am a person who would like to stay in Lyme, work here in the community and with people in the community. It is disheartening to today believe that this may not be possible. Keep in mind that many people, if/when they believe they either cannot afford to stay here, maintain a large home, or become frustrated by the high tax rate that is not accompanied by needed service(s), will sell. And, who will buy the 4br single family homes? People with kids. So, the problem that you are focused on keeping from happening looms even if you don't build. Another issue I'd point to - assessed value of homes. Many homes seem to be a bit off in terms of assessed/market value. Improving the assessments so that they better reflect/match market value could help quite a few people (1) control budgets (2) impart fairness to the tax code. Building? Try for  small units. 1 br. 2 br. Small but functional kitchens. A tv room and a bath. Keep it simple. But, worth pointing out that building is not the only means of solving/making taxes more reasonable for many people. "
2025/11/10 8:34:01 AM EST,58,3-fold increase (6 new units/year),Yes,Yes,No,Yes,Yes,,8-MOST Appropriate,8-MOST Appropriate,8-MOST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,1-LEAST Appropriate,5,,,,Single family home;Duplex (two family);3- 6 dwelling units in a building,Lyme Common District;Lyme Center District,Yes,Yes,,"Helping people stay in their current housing;Creating housing with a mix of price ranges;Encouraging more housing options/choices/types town-wide;Preservation of existing affordable housing;Ensuring that new housing is sustainably built (e.g., environmentally responsible, energy efficient, and resource-efficient design and materials);Encouraging mixed-use development with retail on the ground level and residential space on upper floors;Encouraging Accessory Dwelling Units (ADUs);Attracting younger residents and families with children;Helping people stay in the community as they age;“In-fill” development – adding additional units on a parcel (ADU’s or separate buildings)",10 to 20 years,Yes,,46 to 65 years,No,,Own your own home,
2025/11/10 9:10:34 AM EST,59,4-fold increase (8 new units/year),Yes,Yes,No,Yes,Yes,,7,6,8-MOST Appropriate,6,5,2,1-LEAST Appropriate,6,1-LEAST Appropriate,,,Duplex (two family);3- 6 dwelling units in a building,Lyme Common District;Rural District,Yes,No,It is not reasonable to think that our school won't have to expand in the future and it should be expected and planned for. ,Helping people stay in their current housing;Encouraging more housing options/choices/types town-wide;Attracting younger residents and families with children,10 to 20 years,No,,46 to 65 years,Maybe in the future,,Own your own home,Lyme is becoming more and more restrictive and unwelcoming to home buyers/renters with lower incomes. This is a change we have seen over the past 20 years. 
2025/11/10 1:41:08 PM EST,60,No increase (2 new units/year),No,No,No,Yes,Yes,Homestead Act,,,,,,,,,,8-MOST Appropriate,Your zoning map is missing the land that is in Current Use. What areas are open for building? I need that infor before answering your question.,,Same as answer above. Show me the land that is available for building before asking me to answer this question.,No,Yes,"If 80% of the people in town have no children in the school system and the majority of our tax bill funds the school, why would we want to add to the tax burden as we are aging up?",Helping people stay in their current housing;Preservation of existing affordable housing;Helping people stay in the community as they age,More than 20 years,Yes,Lyme is not a town where you can age in place easily.,Over 65 years,Yes,But not in Lyme,Own your own home,"Without seeing the land in Lyme that is in Current Use, it is hard to answer your questions. Where could we build should be answered, rather then where do I want to see something built. We have an abundance of land in Current Use and people will not be willing to remove their land from that program to build a duplex, cluster housing, etc. Let's not forget what Lyme is. We are a town with open spaces. That is what draws people. We do not need to become a small town with the look of houses and tall buildings lining our main streets and roads. If you are going to encourage ADU's and cluster housing, please consider what your home would be like if that were happening on a piece of land abutting your property. 35' away from your line isn't far. How would that impact your life and your home. ?  "
